,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
0,Scrypt,PoW/PoS,41.99995383,42.0,,,,,
1,Scrypt,PoW/PoS,1055184902.04,532000000.0,,,,,
2,X13,PoW/PoS,29279424622.5027,314159265359.0,,,,,
3,SHA-256,PoW,17927175.0,21000000.0,,,,,
4,Ethash,PoW,107684222.6865,0.0,,,,,
5,Scrypt,PoW,63039243.3000049,84000000.0,,,,,
6,X11,PoW/PoS,9031294.37563393,22000000.0,,,,,
7,CryptoNight-V7,PoW,17201143.1449131,0.0,,,,,
8,Ethash,PoW,113359703.0,210000000.0,,,,,
9,Equihash,PoW,7383056.25,21000000.0,,,,,
10,SHA-512,PoS,2741570000.0,3600570502.0,,,,,
11,Multiple,PoW,11406219141.0,21000000000.0,,,,,
12,SHA-256,PoW/PoS,1288862.0,22000000.0,,,,,
13,SHA-256,PoS,11995334.8847328,12500000.0,,,,,
14,Scrypt,PoW,5768310.0,21000000.0,,,,,
15,X15,PoW/PoS,25542535.5881841,350000000.0,,,,,
16,X11,PoW,11149733.9976203,20000000.0,,,,,
17,Scrypt,PoW,12205795.4449549,64000000.0,,,,,
18,Scrypt,PoW/PoS,18135099.992959,16768584.0,,,,,
19,Scrypt,PoW/PoS,635423900.0,0.0,,,,,
20,Multiple,PoW,1688254250.0,2000000000.0,,,,,
21,Scrypt,PoW,88.0,384000000000.0,,,,,
22,SHA-256,PoW,170204389.754849,169795588.0,,,,,
23,Scrypt,PoW,128940951.183046,250000000.0,,,,,
24,Scrypt,PoW,7357794.7925,100000000.0,,,,,
25,Scrypt,PoW/PoS,123062801.128773,0.0,,,,,
26,Quark,PoW,259557164.91477,247000000.0,,,,,
27,Groestl,PoW,49548585.1412917,84000000.0,,,,,
28,Scrypt,PoW,33442988.3440364,48166000.0,,,,,
29,Scrypt,PoW/PoS,42579.476901,500000.0,,,,,
30,Scrypt,PoW,7219956.64626131,21000000.0,,,,,
31,Scrypt,PoW/PoS,1039116.65144562,1000000.0,,,,,
32,Scrypt,PoW,4703879.51824446,13140000.0,,,,,
33,X11,PoW,4996986.20575291,18000000.0,,,,,
34,Scrypt,PoC,39999997299.8568,40000000000.0,,,,,
35,Groestl,PoW/PoS,3304487.74735637,4380000.0,,,,,
36,Multiple,PoW,15929530669.1206,16555000000.0,,,,,
37,SHA-256,PoW,18773857500.0,21000000000.0,,,,,
38,Scrypt,PoW,12539015186.822,13500000000.0,,,,,
39,Scrypt,PoW,20910478.8062499,21000000.0,,,,,
40,Scrypt,PoW,218871896.499999,299792458.0,,,,,
41,Scrypt,PoW,19496786.31025,32000000.0,,,,,
42,PoS,PoS,5679705.0,0.0,,,,,
43,Scrypt,PoS/PoW/PoT,461829905.32893,0.0,,,,,
44,Scrypt,PoW,1142732.14912776,11235813.0,,,,,
45,NeoScrypt,PoW,208669093.00773,336000000.0,,,,,
46,Scrypt,PoW,884125802.0,1420609614.0,,,,,
47,Scrypt,PoW,65672720.4708748,70000000.0,,,,,
48,Scrypt,PoW,41658647.9999715,72245700.0,,,,,
49,Scrypt,PoW/PoS,89266933.684704,120000000.0,,,,,
50,X11,PoS,1678520090.7713,0.0,,,,,
51,Scrypt,PoW,90595753018.6314,90600000000.0,,,,,
52,X11,PoW/PoS,17650913.9743456,22000000.0,,,,,
53,SHA-256,PoW,21089348.999,21000000.0,,,,,
54,Scrypt,PoW,151447649.8,265420800.0,,,,,
55,Scrypt,PoW,19326319.14375,20000000.0,,,,,
56,Scrypt,PoW,1104344.22938102,1350000.0,,,,,
57,SHA3,PoW/PoS,61445805.0,100000000.0,,,,,
58,Scrypt,PoW,38151999.9930997,42000000.0,,,,,
59,HybridScryptHash256,PoW,40431856.9,200000000.0,,,,,
60,Scrypt,PoS,21293925445.4969,0.0,,,,,
61,Scrypt,PoW,5804204.88794916,10000000.0,,,,,
62,SHA-256,PoW/PoS,1613836099.99999,2419200000.0,,,,,
63,Scrypt,PoS,16180000.0,16180000.0,,,,,
64,X13,PoW/PoS,66087096.2077108,0.0,,,,,
65,Scrypt,PoW,2366066305.76482,15000000000.0,,,,,
66,SHA-256,PoW,14736400.0,21000000.0,,,,,
67,Scrypt,PoW,334709223.483138,337000000.0,,,,,
68,X13,PoW/PoS,15156364.3306548,0.0,,,,,
69,NeoScrypt,PoW/PoS,3220616.279225,3770000.0,,,,,
70,Scrypt,PoW/PoS,222677226.014206,420000000.0,,,,,
71,Scrypt,PoW/PoS,73959274.625,98000000.0,,,,,
72,Scrypt,PoW/PoS,29315567169.0888,0.0,,,,,
73,Scrypt,PoW,1104157.42169891,21000000.0,,,,,
74,Scrypt,PoW,24215181.725,250000000.0,,,,,
75,Scrypt,PoW,25593737.1355044,51200000.0,,,,,
76,X11,PoS,50707661.7493518,0.0,,,,,
77,X11,PoW/PoS,1177.0,1000.0,,,,,
78,SHA-256,PoW,563336541.299966,888000000.0,,,,,
79,Multiple,PoS,80260463.7331396,100000000.0,,,,,
80,SHA-256,PoW,43536800.0,47011968.0,,,,,
81,PHI1612,PoS,1622326490.46336,2300000000.0,,,,,
82,X11,PoW/PoS,1431851.00002479,10000000.0,,,,,
83,SHA-256,PoW,22935396.0,42000000.0,,,,,
84,SHA-256,PoW,2278150.0,80000000.0,,,,,
85,SHA-256,PoW,200911.79151896,250000.0,,,,,
86,X11,PoW,1207310.0,0.0,,,,,
87,Scrypt,PoW/PoS,1098952592.6,1600000000.0,,,,,
88,Scrypt,PoW/PoS,50235211.141939,100000000.0,,,,,
89,Scrypt,PoW,23150892.1679687,23000000.0,,,,,
90,Scrypt,PoST,32021108.4136696,0.0,,,,,
91,Lyra2REv2,PoW,51173723.8166347,84000000.0,,,,,
92,Scrypt,PoW,119606941.0,265420800.0,,,,,
93,X11,PoW/PoS,6950831.0970606,5500000.0,,,,,
94,Multiple,PoS,100000000.0,0.0,,,,,
95,SHA-256,PoW,39195739.362088,45000000.0,,,,,
96,X13,PoW/PoS,33093725.4123502,0.0,,,,,
97,Scrypt,PoW/PoS,147990237.978331,1000000000.0,,,,,
98,CryptoNight,PoW,184066828814.0,184467440735.0,,,,,
99,CryptoNight,PoW,6906587610.38292,10000000000.0,,,,,
100,Shabal256,PoC,1813033920.0,2158812800.0,,,,,
101,Counterparty,PoS,51173144.0,500000000.0,,,,,
102,Scrypt,PoW,68194674.8711679,105120000.0,,,,,
103,SHA-256,PoW/PoS,39121694.0,68000000.0,,,,,
104,Groestl,PoW/PoS,53193831.0,0.0,,,,,
105,Scrypt,PoW,415032420.0,1680000000.0,,,,,
106,Scrypt,PoS,27184490.3918338,0.0,,,,,
107,Scrypt,PoW,137517654.41397,166386000.0,,,,,
108,X13,PoW/PoS,2022464.886973,12000000.0,,,,,
109,Scrypt,PoW,181919.2435974,2628000.0,,,,,
110,Scrypt,PoS,174646113.934655,500000000.0,,,,,
111,Scrypt,PoW,152270664.860648,160000000.0,,,,,
112,Scrypt,PoW/PoS,1467841.0,0.0,,,,,
113,X13,PoW/PoS,7096834.0,10000000.0,,,,,
114,Scrypt,PoW,792537250.0,1000000000.0,,,,,
115,Stanford Folding,PoW,719416990.0,1000000000.0,,,,,
116,X11,PoS,2689812.0,20000000.0,,,,,
117,Multiple,PoW,65113302.0,0.0,,,,,
118,QuBit,PoW,6365285.0,0.0,,,,,
119,Scrypt,PoW,10140044.4430293,3371337.0,,,,,
120,Scrypt,PoW/PoS,11604722.0,20000000.0,,,,,
121,Scrypt,PoW,4610340640.89,10000000000.0,,,,,
122,M7 POW,PoW,708506520.0,1840000000.0,,,,,
123,Scrypt,PoW,619478.0,619478.0,,,,,
124,SHA-256,PoW,12462620.0,21000000.0,,,,,
125,Scrypt,PoW,88213.0,92000000000.0,,,,,
126,X11,PoW/PoS,1513704.0,0.0,,,,,
127,SHA3,PoW/nPoS,63657220.0,78000000.0,,,,,
128,X11,PoW,32221574.820996,33000000.0,,,,,
129,Lyra2RE,PoW,13742738.0,65789100.0,,,,,
130,SHA-256,PoW,14747200.0002,53760000.0,,,,,
131,QUAIT,PoW/PoS,8568038.35935056,5060000.0,,,,,
132,X11,PoW,15863837.5,21000000.0,,,,,
133,X11,PoS/PoW,329200.01639,0.0,,,,,
134,Scrypt,PoW,32565300.0,210240000.0,,,,,
135,Scrypt,PoW,75614500.0,250000000.0,,,,,
136,Scrypt,PoS,100000000.0,100000000.0,,,,,
137,Ethash,PoW,10495278.0,16906397.0,,,,,
138,X13,PoW/PoS,23042604.0,50000000.0,,,,,
139,Blake2b,PoW,33098296530.0,0.0,,,,,
140,SHA-256,PoW/PoS,43059794.804778,1000000000.0,,,,,
141,X15,PoW/PoS,13530556.4180753,26298000.0,,,,,
142,X11,PoW,15867695.0,16000000.0,,,,,
143,SHA-256,PoW,20997476.8650231,21000000.0,,,,,
144,BLAKE256,PoW/PoS,10365046.9281661,21000000.0,,,,,
145,Scrypt,PoW,210000000.0,210000000.0,,,,,
146,1GB AES Pattern Search,PoW,11448949.0,81962100.0,,,,,
147,SHA-256,PoW/PoS,3669691.84494672,22000000.0,,,,,
148,X11,PoW/PoS,10996318099.0,26550000000.0,,,,,
149,Scrypt,PoW,69836100.0,84000000.0,,,,,
150,SHA-256,PoW/PoS,5129014.0,10500000.0,,,,,
151,SHA-256,PoW,21739971929.0,21626280000.0,,,,,
152,NIST5,PoW/PoS,10069449031.9252,0.0,,,,,
153,Scrypt,PoW/PoS,8998743.2411911,42000000.0,,,,,
154,Scrypt,PoS,40477042.0,221052632.0,,,,,
155,X11,PoW,45110324.0,84000000.0,,,,,
156,Dagger,PoW,5702048.0,30000000.0,,,,,
157,Scrypt,PoW,636462.55983338,168351300.0,,,,,
158,X11GOST,PoW,17263355.0,24000000.0,,,,,
159,X11,PoW/PoS,10407269.7881868,384000000.0,,,,,
160,Scrypt,PoS,36971236046.8073,99000000000.0,,,,,
161,SHA-256,PoW/PoS,4377081.60953993,40000000.0,,,,,
162,Scrypt,PoC,2147483647.0,2147483647.0,,,,,
163,PoS,PoS,20000000.0,20000000.0,,,,,
164,Scrypt,PoW,6570807.65677618,20000000.0,,,,,
165,X11,PoW,13654082.4987998,25000000.0,,,,,
166,X11,PoW/PoS,134554941.15119,75000000.0,,,,,
167,SHA-256,PoW/PoS,1195525.0,222725000.0,,,,,
168,SHA-256,PoW/PoS,16662820.0,525000000.0,,,,,
169,NIST5,PoW/PoS,83450403.0,90000000.0,,,,,
170,X11,PoW/PoS,24387724.5010828,139000000.0,,,,,
171,Scrypt,PoW,616448.0,616448.0,,,,,
172,POS 3.0,PoS,38589808.6658096,33500000.0,,,,,
173,Scrypt,PoW/PoS,813092338.575672,2000000000.0,,,,,
174,Scrypt,PoW/PoS,4526324.0,44333333.0,,,,,
175,Scrypt,PoW/PoS,100000000.0,100000000.0,,,,,
176,X13,PoS,5000000.0,200000000.0,,,,,
177,X11,PoW,1377917.0,25000000.0,,,,,
178,X11,PoS,657000000.0,657000000.0,,,,,
179,Equihash,dPoW/PoW,115898131.0,200000000.0,,,,,
180,X11,PoW/PoS,15563873.0,50000000.0,,,,,
181,Scrypt,PoW/PoS,43165500.0,90000000.0,,,,,
182,CryptoNight,PoW,7822432.72439746,10000000.0,,,,,
183,SHA-256,PoW/PoS,595429.0,21000000.0,,,,,
184,SHA-256,PoW,6243840.0,9736000.0,,,,,
185,X11,PoW/PoS,657636.34549789,3000000.0,,,,,
186,Scrypt,PoW/PoS,2581970.0,21000000.0,,,,,
187,Multiple,PoW,1000000000.0,1200000000.0,,,,,
188,Scrypt,PoW/PoS,1939889.0,0.0,,,,,
189,Scrypt,PoW,116845228.0,200000000.0,,,,,
190,Scrypt,PoS,169598616.0,0.0,,,,,
191,SHA-256,PoW,9106714.0,10638298.0,,,,,
192,Scrypt,PoW/PoW,665200057.0,3100000000.0,,,,,
193,Scrypt,PoW,11119200.0,30000000.0,,,,,
194,SHA-256D,PoW/PoS,19577787259.0,20000000000.0,,,,,
195,PoS,PoS,74033806.7949683,74000000.0,,,,,
196,Scrypt,PoW/PoS,33522957.0,0.0,,,,,
197,X11,PoW/PoS,264678458.288619,1500000000.0,,,,,
198,Lyra2Z,PoW,7568281.24956067,21400000.0,,,,,
199,PoS,PoS,148716816.0,39999898.0,,,,,
200,X13,PoS,2500124.0,2500124.0,,,,,
201,X14,PoW/PoS,100000000.0,100000000.0,,,,,
202,PoS,PoS,17818682.1654,301000000.0,,,,,
203,SHA-256D,PoW/PoS,1082162635.53683,7506000000.0,,,,,
204,Ethash,PoW,26205539.0,26205539.0,,,,,
205,Equihash,PoW,5613550.0,21000000.0,,,,,
206,DPoS,DPoS,108202084.0,125000000.0,,,,,
207,X11,PoW/PoS,18342813.0,30000000.0,,,,,
